First_Name,DOI,Researcher ID,Annee_Bibliographique,Year of first pub,gender,Paper ID,Author order,nb_auteur,Discipline of paper,Specialty of paper,Relative citation rate,ERegroupement,disc_origin,spec_origin,Country of origin
arie,10.1080/17538947.2015.1040474,7165442,2016,2008,F,57046712,4,6,Engineering and Technology,Miscellaneous Engineering & Technology,0.476,United States,Physics,Optics,United States
arie,10.1080/13658816.2013.825724,7165442,2013,2008,F,51345753,1,4,Social Sciences,Geography,2.344,United States,Physics,Optics,United States
anthony,10.1080/17538947.2015.1040474,49493557,2016,1997,M,57046712,5,6,Engineering and Technology,Miscellaneous Engineering & Technology,0.476,United States,Physics,Optics,nan
anthony,10.1080/13658816.2013.825724,49493557,2013,1997,M,51345753,4,4,Social Sciences,Geography,2.344,United States,Physics,Optics,nan
dazhen,10.1007/s00530-014-0407-8,6440088,2016,2010,UNK,57303132,3,4,Engineering and Technology,Computers,1.815,China,Engineering and Technology,Computers,China
donglin,10.1007/s00530-014-0407-8,40840274,2016,2010,M,57303132,1,4,Engineering and Technology,Computers,1.815,China,Engineering and Technology,Computers,China
shaozi,10.1007/s00530-014-0407-8,29968185,2016,2004,UNK,57303132,4,4,Engineering and Technology,Computers,1.815,China,Engineering and Technology,Computers,nan
brenden,10.3390/ijgi4042246,14153929,2015,2012,M,56044416,1,4,Earth and Space,Geology,1.466,Netherlands,Earth and Space,Environmental Science,Netherlands
jurjen,10.3390/ijgi4042246,28306669,2015,2015,UNK,56044416,2,4,Earth and Space,Geology,1.466,Netherlands,Earth and Space,Geology,Netherlands
qiang,10.1016/j.cose.2017.08.014,25730647,2018,2016,M,61797381,1,4,Engineering and Technology,Computers,1.845,China,Engineering and Technology,Electrical Engineering & Electronics,China
qiang,10.1016/j.cose.2017.08.014,48278970,2018,2006,M,61797381,4,4,Engineering and Technology,Computers,1.845,China,Engineering and Technology,Computers,nan
qiang,10.1016/j.cose.2017.08.014,25730647,2018,2016,M,61797381,1,4,Engineering and Technology,Computers,1.845,China,Engineering and Technology,Electrical Engineering & Electronics,China
qiang,10.1016/j.cose.2017.08.014,48278970,2018,2006,M,61797381,4,4,Engineering and Technology,Computers,1.845,China,Engineering and Technology,Computers,nan
wenyu,10.1007/s10660-016-9244-5,37090412,2017,1998,F,59869519,5,5,Professional Fields,Management,1.521,China,Professional Fields,Management,nan
wei,10.1177/1938965516686109,50564238,2017,2017,M,60847807,3,3,Professional Fields,Management,1.141,China,Professional Fields,Management,China
wei,10.1371/journal.pone.0165997,50560487,2016,2016,M,59468907,3,6,Biomedical Research,General Biomedical Research,1.65,China,Biomedical Research,General Biomedical Research,China
wei,10.1111/apps.12065,50513878,2016,2014,M,56749168,1,5,Professional Fields,Management,0.829,United States,Social Sciences,Sociology,United States
wei,10.1007/s11042-014-2230-9,50552392,2015,2015,M,55074042,2,3,Engineering and Technology,Electrical Engineering & Electronics,0.846,Japan,Engineering and Technology,Electrical Engineering & Electronics,Japan
wei,10.1166/jctn.2015.3907,50551872,2015,2015,M,54873892,3,6,Physics,Applied Physics,0.147,China,Physics,Applied Physics,China
sean d.,10.2196/jmir.8049,28159271,2017,2017,M,61282323,9,11,Health,Health Policy & Services,0.798,United States,Health,Health Policy & Services,United States
sean d.,10.1007/s11121-016-0739-z,28156996,2017,2006,M,59775616,3,3,Health,Public Health,1.276,United States,Clinical Medicine,Pharmacology,nan
sean d.,10.1007/s10461-014-0987-5,28156996,2015,2006,M,55014884,3,3,Health,Public Health,1.221,United States,Clinical Medicine,Pharmacology,nan
sean d.,10.1177/1557988313476878,28156996,2014,2006,M,51541624,1,2,Health,Public Health,0.86,United States,Clinical Medicine,Pharmacology,nan
sean d.,10.1097/olq.0b013e318278bd12,28156996,2013,2006,M,49925993,1,2,Clinical Medicine,Dermatology & Venerial Disease,3.441,United States,Clinical Medicine,Pharmacology,nan
gillian,10.1080/01292986.2016.1214743,24592857,2017,2017,F,59939487,1,1,Professional Fields,Communication,0.668,United Kingdom,Professional Fields,Communication,United Kingdom
tao,10.1371/journal.pone.0097807,45253576,2014,2004,M,52661571,1,2,Biomedical Research,General Biomedical Research,1.397,United Kingdom,Social Sciences,Geography,nan
guy,10.1016/j.compenvurbsys.2016.04.002,30663400,2016,2015,M,57128663,1,2,Social Sciences,Planning & Urban Studies,5.363,United Kingdom,Social Sciences,Geography,United Kingdom
guy,10.1068/a130122p,30663400,2015,2015,M,54511732,3,3,Social Sciences,Geography,4.533,United Kingdom,Social Sciences,Geography,United Kingdom
rainer,10.1016/j.chb.2017.05.035,16237341,2017,1994,M,61121033,3,3,Psychology,Human Factors,0.0,Germany,Psychology,Experimental Psychology,nan
lin,10.3837/tiis.2017.05.010,15814968,2017,2017,M,60692059,1,4,Engineering and Technology,Computers,0.0,China,Engineering and Technology,Computers,China
lin,10.1007/s10586-016-0589-2,15809742,2016,2016,M,57625177,1,5,Engineering and Technology,Computers,0.227,China,Engineering and Technology,Computers,China
luo,10.1007/s10586-016-0589-2,24815036,2016,2012,M,57625177,5,5,Engineering and Technology,Computers,0.227,China,Professional Fields,Management,China
borja,10.1016/j.cities.2017.09.007,18298889,2018,2015,M,62043433,3,5,Social Sciences,Planning & Urban Studies,5.951,Spain,Engineering and Technology,Operations Research,Spain
juan,10.1016/j.cities.2017.09.007,35099631,2018,2007,F,62043433,1,5,Social Sciences,Planning & Urban Studies,5.951,Spain,Social Sciences,Geography,nan
evan l.,10.1177/2167479513508393,45456520,2015,2014,M,61337428,1,3,Professional Fields,Communication,1.693,United States,Professional Fields,Communication,United States
jimmy,10.1123/ssj.2015-0048,31069719,2016,2008,M,57423597,1,2,Social Sciences,Miscellaneous Social Sciences,1.197,United States,Professional Fields,Communication,nan
jimmy,10.1080/15205436.2015.1128549,31069719,2016,2008,M,56676961,1,3,Professional Fields,Communication,0.731,United States,Professional Fields,Communication,nan
jimmy,10.1016/j.pubrev.2015.11.005,31069719,2016,2008,M,56396378,1,4,Professional Fields,Communication,2.922,Brazil,Professional Fields,Communication,nan
jimmy,10.1177/0193723514557821,31069719,2015,2008,M,55043057,2,2,Social Sciences,Sociology,2.006,United States,Professional Fields,Communication,nan
elizabeth l.,10.1089/cyber.2015.0657,21474309,2016,2012,F,57113882,1,2,Professional Fields,Communication,1.826,United States,Professional Fields,Communication,United States
elizabeth l.,10.1016/j.chb.2014.02.050,21474309,2014,2012,F,52656988,1,3,Psychology,Human Factors,0.307,United States,Professional Fields,Communication,United States
yunhwan,10.1016/j.compedu.2013.07.034,31755533,2013,2013,UNK,51245534,1,4,Professional Fields,Education,1.068,Sweden,Professional Fields,Education,Sweden
shenghua,10.1109/tkde.2014.2382600,33738877,2015,2015,M,54654868,1,4,Engineering and Technology,Electrical Engineering & Electronics,1.128,China,Engineering and Technology,Electrical Engineering & Electronics,China
xueqi,10.1109/tkde.2014.2382600,29394609,2015,2006,F,54654868,2,4,Engineering and Technology,Electrical Engineering & Electronics,1.128,China,Engineering and Technology,Computers,nan
munmun,10.1109/jproc.2012.2191529,5018878,2012,2010,UNK,49089016,3,5,Engineering and Technology,Electrical Engineering & Electronics,0.4,United States,Engineering and Technology,Computers,United States
munmun,10.1145/2071396.2071400,5018878,2012,2010,UNK,48064020,3,4,Engineering and Technology,Computers,0.52,United States,Engineering and Technology,Computers,United States
yogesh k.,10.1016/j.ijinfomgt.2017.07.005,13924652,2018,2005,M,61847919,4,4,Professional Fields,Management,17.937,United Kingdom,Engineering and Technology,Computers,nan
abeed,10.2196/jmir.8164,44219062,2017,2015,UNK,61678247,1,6,Health,Health Policy & Services,0.798,United States,Biomedical Research,Biochemistry & Molecular Biology,United States
abeed,10.1016/j.jbi.2016.06.007,44219062,2016,2015,UNK,59076412,4,6,Biomedical Research,Biochemistry & Molecular Biology,1.524,United States,Biomedical Research,Biochemistry & Molecular Biology,United States
abeed,10.1007/s40264-015-0379-4,44219062,2016,2015,UNK,56292803,1,7,Clinical Medicine,Pharmacy,2.624,United States,Biomedical Research,Biochemistry & Molecular Biology,United States
abeed,10.1093/jamia/ocu041,44219062,2015,2015,UNK,54926985,2,5,Professional Fields,Information Science & Library Science,15.82,United States,Biomedical Research,Biochemistry & Molecular Biology,United States
abeed,10.1016/j.jbi.2014.11.002,44219062,2015,2015,UNK,54405038,1,2,Biomedical Research,Biochemistry & Molecular Biology,2.904,United States,Biomedical Research,Biochemistry & Molecular Biology,United States
ari,10.2196/jmir.8164,51224936,2017,2017,M,61678247,5,6,Health,Health Policy & Services,0.798,United States,Health,Health Policy & Services,United States
karen,10.1007/s40264-015-0379-4,38476839,2016,2015,F,56292803,2,7,Clinical Medicine,Pharmacy,2.624,United States,Biomedical Research,Biochemistry & Molecular Biology,United States
karen,10.1007/s40264-015-0379-4,43083567,2016,2015,F,56292803,5,7,Clinical Medicine,Pharmacy,2.624,United States,Biomedical Research,Biochemistry & Molecular Biology,United States
karen,10.1007/s40264-015-0379-4,38476839,2016,2015,F,56292803,2,7,Clinical Medicine,Pharmacy,2.624,United States,Biomedical Research,Biochemistry & Molecular Biology,United States
karen,10.1007/s40264-015-0379-4,43083567,2016,2015,F,56292803,5,7,Clinical Medicine,Pharmacy,2.624,United States,Biomedical Research,Biochemistry & Molecular Biology,United States
karen,10.1093/jamia/ocu041,38476839,2015,2015,F,54926985,3,5,Professional Fields,Information Science & Library Science,15.82,United States,Biomedical Research,Biochemistry & Molecular Biology,United States
arjun,10.2196/jmir.8164,1733624,2017,2017,M,61678247,3,6,Health,Health Policy & Services,0.798,United States,Clinical Medicine,Dermatology & Venerial Disease,United States
peter h.,10.1073/pnas.1614158113,22834512,2016,1997,M,59426361,6,6,Biomedical Research,General Biomedical Research,2.621,Netherlands,Earth and Space,Environmental Science,nan
koen f.,10.1073/pnas.1614158113,8103950,2016,2016,M,59426361,5,6,Biomedical Research,General Biomedical Research,2.621,Netherlands,Social Sciences,Economics,Netherlands
boris t.,10.1073/pnas.1614158113,22687806,2016,2014,M,59426361,1,6,Biomedical Research,General Biomedical Research,2.621,Netherlands,Biology,Agricult & Food Science,Netherlands
haewoon,10.1038/srep32920,21477368,2016,2016,UNK,57613862,4,7,Biomedical Research,General Biomedical Research,0.291,Qatar,Biomedical Research,General Biomedical Research,Qatar
haewoon,10.1109/tnet.2008.2011358,21477084,2009,2009,UNK,32758970,2,5,Engineering and Technology,Computers,7.592,South Korea,Engineering and Technology,Computers,South Korea
jing,10.1016/j.artmed.2017.10.003,44658865,2018,2018,M,62294962,1,3,Engineering and Technology,Computers,0.922,China,Engineering and Technology,Computers,China
jing,10.1007/s11280-015-0364-y,44641528,2016,2016,M,57326283,2,5,Engineering and Technology,Computers,0.454,China,Engineering and Technology,Computers,China
jing,10.1109/tmm.2012.2188782,44572254,2012,2011,M,48526394,3,3,Engineering and Technology,Electrical Engineering & Electronics,4.994,China,Engineering and Technology,Electrical Engineering & Electronics,China
jing,10.1109/tcsvt.2011.2133090,44572254,2011,2011,M,47046649,2,5,Engineering and Technology,Electrical Engineering & Electronics,1.226,China,Engineering and Technology,Electrical Engineering & Electronics,China
zhihan,10.1109/tetc.2017.2684819,1400457,2017,2017,UNK,61290241,5,8,Engineering and Technology,Computers,0.0,United Kingdom,Engineering and Technology,Computers,United Kingdom
natalie jomini,10.1111/jcc4.12104,10649676,2015,2005,F,54448071,1,4,Professional Fields,Communication,5.562,United States,Social Sciences,General Social Sciences,nan
ashley,10.1111/jcc4.12104,32912488,2015,2013,F,54448071,3,4,Professional Fields,Communication,5.562,United States,Professional Fields,Communication,United States
yoonsang,10.1136/tobaccocontrol-2016-053094,31773768,2016,2016,UNK,59227541,4,5,Health,Public Health,1.522,United States,Health,Public Health,United States
yoonsang,10.1136/tobaccocontrol-2015-052260,31771773,2016,2016,UNK,57262287,3,5,Health,Public Health,2.391,United States,Health,Public Health,United States
yoonsang,10.2196/jmir.4738,31703372,2016,2013,UNK,57471000,1,3,Health,Health Policy & Services,2.802,United States,Mathematics,Probability & Statistics,United States
yoonsang,10.1111/jcom.12083,31758506,2014,2014,UNK,52399677,4,5,Professional Fields,Communication,2.924,United States,Professional Fields,Communication,United States
sherry,10.1136/tobaccocontrol-2016-053094,360943,2016,1998,F,59227541,5,5,Health,Public Health,1.522,United States,Clinical Medicine,General & Internal Medicine,nan
sherry,10.1136/tobaccocontrol-2015-052260,360943,2016,1998,F,57262287,4,5,Health,Public Health,2.391,United States,Clinical Medicine,General & Internal Medicine,nan
sherry,10.2196/jmir.4738,360943,2016,1998,F,57471000,3,3,Health,Health Policy & Services,2.802,United States,Clinical Medicine,General & Internal Medicine,nan
sherry,10.2196/jmir.3645,360943,2015,1998,F,56861216,5,5,Health,Health Policy & Services,1.034,United States,Clinical Medicine,General & Internal Medicine,nan
yu,10.1016/j.chb.2017.06.006,20695290,2017,2017,M,61121043,3,3,Psychology,Human Factors,0.346,China,Psychology,Human Factors,China
yu,10.1109/tifs.2016.2621888,20538572,2017,2012,M,59962781,2,6,Engineering and Technology,Electrical Engineering & Electronics,2.445,Australia,Engineering and Technology,Computers,Australia
yingjie,10.2196/jmir.7087,27837427,2017,2017,M,60274118,1,5,Health,Health Policy & Services,2.791,China,Health,Health Policy & Services,China
yingjie,10.1371/journal.pone.0056221,27810610,2013,2006,M,50111758,1,5,Biomedical Research,General Biomedical Research,0.781,China,Engineering and Technology,Computers,nan
shasha,10.1371/journal.pone.0056221,37291049,2013,2013,F,50111758,5,5,Biomedical Research,General Biomedical Research,0.781,China,Biomedical Research,General Biomedical Research,China
daswin,10.1002/asi.23896,2827621,2017,2017,UNK,61367709,2,3,Professional Fields,Information Science & Library Science,1.178,Australia,Professional Fields,Information Science & Library Science,Australia
damminda,10.1002/asi.23896,14409564,2017,2000,UNK,61367709,3,3,Professional Fields,Information Science & Library Science,1.178,Australia,Engineering and Technology,Electrical Engineering & Electronics,nan
wingyan,10.1002/asi.23449,51156227,2016,2002,UNK,57287288,1,2,Professional Fields,Information Science & Library Science,0.6,United States,Engineering and Technology,Computers,nan
danielle e.,10.2196/jmir.5209,41633426,2015,2004,F,56069218,1,5,Health,Health Policy & Services,2.807,United States,Clinical Medicine,Addictive Diseases,nan
danielle e.,10.2196/jmir.4575,41633426,2015,2004,F,55891602,3,3,Health,Health Policy & Services,2.659,United States,Clinical Medicine,Addictive Diseases,nan
alan r.,10.1111/deci.12229,34563668,2017,1988,M,60733975,2,3,Professional Fields,Management,2.282,United States,Professional Fields,Management,nan
liang,10.1109/access.2017.2675839,34073244,2017,2017,M,61658746,4,5,Engineering and Technology,Computers,1.025,China,Engineering and Technology,Computers,China
lu,10.1016/j.neucom.2011.05.039,48447907,2012,2012,F,48902568,1,4,Clinical Medicine,Neurology & Neurosurgery,0.173,China,Clinical Medicine,Neurology & Neurosurgery,China
lu,10.1007/s11042-010-0568-1,48447837,2012,2012,F,47958159,1,6,Engineering and Technology,Electrical Engineering & Electronics,0.3,China,Engineering and Technology,Electrical Engineering & Electronics,China
chau,10.1109/jsac.2016.2577178,23264082,2016,2005,F,57526477,2,5,Engineering and Technology,Electrical Engineering & Electronics,0.969,Singapore,Engineering and Technology,Electrical Engineering & Electronics,nan
marika,10.1002/eat.22559,36674564,2017,1980,F,59599757,2,2,Clinical Medicine,Psychiatry,4.913,Australia,Health,Health Policy & Services,nan
eleanor h.,10.1002/eat.22708,29357539,2017,1986,F,60950773,2,4,Clinical Medicine,Psychiatry,2.586,Australia,Social Sciences,Miscellaneous Social Sciences,nan
niloy,10.1145/2743023,22855916,2015,2004,UNK,54927563,3,5,Engineering and Technology,Computers,0.326,India,Engineering and Technology,Computers,nan
niloy,10.1145/2377677.2377782,22855916,2012,2004,UNK,49237688,4,5,Engineering and Technology,Computers,0.624,India,Engineering and Technology,Computers,nan
xiaolin,10.1109/tdsc.2015.2443795,23671689,2017,2011,M,60045632,5,5,Engineering and Technology,Computers,1.367,United States,Engineering and Technology,Computers,United States
michael j.,10.2196/jmir.3875,42447191,2015,2013,M,54935553,2,3,Health,Health Policy & Services,2.807,United States,Biomedical Research,General Biomedical Research,United States
michael j.,10.1371/journal.pone.0083672,42447191,2013,2013,M,51759195,2,3,Biomedical Research,General Biomedical Research,4.254,United States,Biomedical Research,General Biomedical Research,United States
mark,10.1002/asi.23888,37637172,2017,2010,M,61367710,2,3,Professional Fields,Information Science & Library Science,0.0,United States,Engineering and Technology,Computers,United States
mark,10.1371/journal.pone.0159885,37637172,2016,2010,M,57498391,3,8,Biomedical Research,General Biomedical Research,1.262,United States,Engineering and Technology,Computers,United States
mark,10.2196/jmir.3875,37637172,2015,2010,M,54935553,3,3,Health,Health Policy & Services,2.807,United States,Engineering and Technology,Computers,United States
mark,10.1371/journal.pone.0083672,37637172,2013,2010,M,51759195,3,3,Biomedical Research,General Biomedical Research,4.254,United States,Engineering and Technology,Computers,United States
zheng,10.1007/s11277-016-3689-7,46289211,2017,2010,M,61091287,1,7,Engineering and Technology,Electrical Engineering & Electronics,1.528,China,Engineering and Technology,Computers,China
zheng,10.1109/tetc.2017.2684819,46289211,2017,2010,M,61290241,1,8,Engineering and Technology,Computers,0.0,China,Engineering and Technology,Computers,China
zheng,10.1007/s11042-015-2731-1,46289211,2017,2010,M,60538302,1,5,Engineering and Technology,Electrical Engineering & Electronics,5.195,China,Engineering and Technology,Computers,China
zheng,10.1007/s11036-016-0789-2,46289211,2017,2010,M,60275145,1,6,Engineering and Technology,Electrical Engineering & Electronics,3.362,China,Engineering and Technology,Computers,China
zheng,10.1109/access.2016.2607218,46310938,2017,2017,M,60107562,4,4,Engineering and Technology,Computers,2.391,China,Engineering and Technology,Computers,China
zheng,10.1016/j.future.2015.11.023,46289211,2016,2010,M,57558883,6,6,Engineering and Technology,Computers,1.361,China,Engineering and Technology,Computers,China
zheng,10.1016/j.knosys.2016.03.031,46289211,2016,2010,M,57208787,4,5,Engineering and Technology,Computers,0.681,China,Engineering and Technology,Computers,China
chuanping,10.1007/s11277-016-3689-7,20734286,2017,2012,M,61091287,5,7,Engineering and Technology,Electrical Engineering & Electronics,1.528,China,Engineering and Technology,Electrical Engineering & Electronics,nan
chuanping,10.1007/s11036-016-0789-2,20734286,2017,2012,M,60275145,6,6,Engineering and Technology,Electrical Engineering & Electronics,3.362,China,Engineering and Technology,Electrical Engineering & Electronics,nan
lin,10.1007/s11277-016-3689-7,11114621,2017,2014,M,61091287,3,7,Engineering and Technology,Electrical Engineering & Electronics,1.528,China,Engineering and Technology,Computers,China
lin,10.1109/tetc.2017.2684819,11114621,2017,2014,M,61290241,7,8,Engineering and Technology,Computers,0.0,China,Engineering and Technology,Computers,China
lin,10.1007/s11042-015-2731-1,11114621,2017,2014,M,60538302,5,5,Engineering and Technology,Electrical Engineering & Electronics,5.195,China,Engineering and Technology,Computers,China
lin,10.1007/s11036-016-0789-2,11114621,2017,2014,M,60275145,5,6,Engineering and Technology,Electrical Engineering & Electronics,3.362,China,Engineering and Technology,Computers,China
xiangfeng,10.1007/s11277-016-3689-7,11964133,2017,2005,M,61091287,4,7,Engineering and Technology,Electrical Engineering & Electronics,1.528,China,Engineering and Technology,Computers,nan
xiangfeng,10.1109/tetc.2017.2684819,11964133,2017,2005,M,61290241,8,8,Engineering and Technology,Computers,0.0,China,Engineering and Technology,Computers,nan
xiangfeng,10.1007/s11036-016-0789-2,11964133,2017,2005,M,60275145,4,6,Engineering and Technology,Electrical Engineering & Electronics,3.362,China,Engineering and Technology,Computers,nan
xiangfeng,10.1109/access.2016.2607218,11964133,2017,2005,M,60107562,2,4,Engineering and Technology,Computers,2.391,China,Engineering and Technology,Computers,nan
xiangfeng,10.1016/j.future.2015.11.023,11964133,2016,2005,M,57558883,2,6,Engineering and Technology,Computers,1.361,China,Engineering and Technology,Computers,nan
